Ticker,PE,PB,ROE,RevenueGrowth,DebtToEquity
SBUX,77.92373,-12.486421,,0.055,
SCHW,22.252676,4.3563194,0.18110001,0.189,99.789
SHW,34.599026,19.003323,0.59391,0.056,281.465
SJM,10.604902,1.8461593,-0.17438,0.026,131.357
SLB,20.587234,2.770905,0.13904001,0.05,45.975
SMCI,22.92126,2.663312,0.12787,-0.155,79.184
SNA,19.228464,3.2717896,0.18330999,0.036,22.27
SNDK,8.160394,8.350601,-0.09372,0.612,7.96
SNPS,59.553776,3.0538592,0.0716,0.378,50.459
SO,22.16129,2.8095508,0.11429,0.075,192.679
SOLV,8.78653,2.6774037,0.37271,0.007,103.028
SPG,27.60606,27.047928,0.82455003,0.082,884.863
SPGI,38.46866,4.832976,0.119940005,0.088,31.784
SRE,26.772308,1.8225424,0.0677,0.135,81.287
STE,37.46077,3.675349,0.101339996,0.099,29.314
STLD,22.788073,2.9194577,0.13284001,0.14,47.155
STT,13.98077,1.5039996,0.11078,0.076,
STX,50.51921,193.769,,0.215,1046.623
STZ,24.256966,3.5235653,0.14454001,-0.098,133.293
SW,28.909721,1.176022,0.04099,0.043,76.445
SWK,27.217993,1.3568152,0.04918,0.001,78.538
SWKS,18.103895,1.4402314,0.0789,0.073,20.898
SYF,7.903156,1.6232344,0.21304001,0.05,
SYK,44.047672,6.3049784,0.15079,0.114,66.276
SYY,22.66216,17.589678,0.82345,0.03,640.248
T,8.621711,1.6686827,0.18805,0.036,120.664
TAP,8.701796,0.91954905,-0.17295,-0.023,61.017
TDG,44.251087,-8.308733,,0.115,
TDY,33.117992,2.7847111,0.08926,0.073,23.544
TECH,130.79591,5.077642,0.038,-0.01,20.067
TEL,32.570175,5.038334,0.16097,0.217,45.691
TER,91.65399,13.948846,0.15767999,0.043,9.89
TFC,13.425588,1.077039,0.08236,0.032,
TGT,12.466903,3.0808551,0.25094998,-0.016,132.062
TJX,32.56739,17.775272,0.58396,0.075,140.977
