Date,Open,High,Low,Close,Volume
2017-08-08,141.47634349139074,141.96319782784892,140.9211710686355,141.4421844482422,434200
2017-08-09,141.35671168856962,141.85210233274628,140.84423501312526,141.47628784179688,435500
2017-08-10,140.97872979236618,141.15891438186273,139.09100751878495,139.18539428710938,662100
2017-08-11,139.64865709256173,139.64865709256173,138.58466261079363,138.71337890625,680000
2017-08-14,139.68301304839918,141.15887128823854,139.41701762602753,140.68695068359375,388300
2017-08-15,140.73842096173712,141.66512348813097,140.73842096173712,140.82421875,407200
2017-08-16,141.2189735996477,141.8539402726339,140.60117172671684,140.74703979492188,552200
2017-08-17,140.0434142154734,141.17604204450225,138.33587698058545,138.3701934814453,536800
2017-08-18,138.044131547381,140.0862970792593,137.5378682704383,138.47315979003906,567800
2017-08-21,138.45596123162258,138.53318315417366,136.92862210763616,137.6837158203125,605000
2017-08-22,138.36162713287098,140.14638643695827,138.00982078360033,140.00909423828125,402400
2017-08-23,138.8850479569906,139.06524561185745,137.2718972877443,137.29763793945312,551900
2017-08-24,137.49497572622533,137.7781359371279,136.70556533199826,137.4005889892578,600300
2017-08-25,138.10421476213656,138.5933133356843,136.86861109517955,136.9544219970703,597000
2017-08-28,137.67520126702124,137.76101217815443,136.33663484794715,136.9201202392578,341200
2017-08-29,136.19073530361248,137.8210374951729,136.09634856033875,137.6151123046875,482500
2017-08-30,137.62369266727185,139.64013084288868,137.62369266727185,139.5371551513672,383000
2017-08-31,140.21501935255154,140.97868913314434,139.8203075916941,140.7727508544922,582900
2017-09-01,141.3133574204989,142.30870631650168,140.9787158373659,141.0301971435547,452500
2017-09-05,141.02160212388694,141.7938477975744,139.90612596741295,140.21502685546875,775300
2017-09-06,140.9529932868043,141.42492714232156,139.13390397943843,139.27978515625,647700
2017-09-07,139.70015557209547,139.70015557209547,138.32727323517517,139.4856414794922,931000
2017-09-08,139.15959815912768,141.30473942876205,138.7477347013708,140.72984313964844,512100
2017-09-11,141.5793036808169,145.31185419683538,141.12453484369854,144.87423706054688,1094100
2017-09-12,145.6551123350784,146.2214328508139,144.6855041574923,145.11453247070312,621200
2017-09-13,145.00297714155252,146.25573233834504,144.33369409824616,145.7752227783203,440700
2017-09-14,145.23463382209414,147.80022738831744,144.53103432295262,147.71441650390625,746400
2017-09-15,147.25966007825772,149.45628273881817,147.25966007825772,149.07015991210938,1019600
2017-09-18,149.25891089311366,150.43445708580126,148.5553114405454,150.2971649169922,558200
2017-09-19,150.49451072728237,152.16771808041906,150.3143131232977,151.98753356933594,638200
2017-09-20,152.3221759373783,152.8284260715584,151.29251087498952,152.3736572265625,686400
2017-09-21,152.48523009639567,152.70832007839377,151.8760042056537,152.15916442871094,435100
2017-09-22,152.15917267472375,152.49381421230794,151.57568740055652,152.3479461669922,492100
2017-09-25,152.29649906094417,152.66545718318534,151.4555940091677,152.45094299316406,367700
2017-09-26,152.5195481361869,153.43767490745134,151.67865640319306,151.8588409423828,611400
2017-09-27,152.6225091891388,153.14592419062583,151.3954946487941,152.15916442871094,532600
2017-09-28,151.92749888705342,152.3822678357829,150.58893269132858,152.10769653320312,467200
2017-09-29,152.04756986751516,154.02110192581304,151.7558338752441,152.91421508789062,621400
2017-10-02,153.42052470223746,155.09373247550846,152.7340767946916,155.0508270263672,724900
2017-10-03,155.02507565579285,155.2910710920089,154.30431129451625,155.13662719726562,587800
2017-10-04,155.23960126019975,156.75836513520875,155.05941670302363,156.4666290283203,556300
2017-10-05,156.2778140530548,156.99857827629515,154.9306592400186,156.60386657714844,454900
2017-10-06,156.47520220153854,157.42764555187452,156.2177826027901,156.4322967529297,481500
2017-10-09,156.56959455686473,157.77945754926498,156.56959455686473,157.25604248046875,335400
2017-10-10,158.00255892305958,158.00255892305958,156.5867706167921,156.80128479003906,371300
2017-10-11,156.97285354775028,157.68504199276927,156.62104725089102,157.66787719726562,375500
2017-10-12,157.24745221624434,158.98930611570307,157.17880611516898,158.3114471435547,444700
2017-10-13,158.44871446913163,160.0189594158248,158.14838946069136,159.49554443359375,524200
